             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
MAY-1962	-0.04
JUN-1962	-0.16
JUL-1962	-0.23
AUG-1962	-0.29
SEP-1962	0.04
OCT-1962	0.32
NOV-1962	-0.23
DEC-1962	-0.16
JAN-1963	-0.56
FEB-1963	-0.77
MAR-1963	-0.59
APR-1963	-0.36
MAY-1963	-0.76
JUN-1963	-0.4
JUL-1963	-0.31
AUG-1963	-0.73
SEP-1963	-1.07
OCT-1963	-0.4
NOV-1963	-0.05
DEC-1963	-0.2
JAN-1964	-0.01
FEB-1964	0.05
MAR-1964	-0.04
APR-1964	-0.21
MAY-1964	0.52
JUN-1964	0.11
JUL-1964	0.1
AUG-1964	-0.02
SEP-1964	0.38
OCT-1964	-0.1
NOV-1964	0.03
DEC-1964	-0.01
JAN-1965	-0.2
FEB-1965	-0.34
MAR-1965	-0.19
APR-1965	-0.07
MAY-1965	0.34
JUN-1965	0.16
JUL-1965	-0.1
AUG-1965	-0.36
SEP-1965	-0.84
OCT-1965	-0.24
NOV-1965	-0.33
DEC-1965	-0.48
JAN-1966	-0.04
FEB-1966	0.24
MAR-1966	0.35
APR-1966	0.37
MAY-1966	0.13
JUN-1966	0.31
JUL-1966	-0.18
AUG-1966	-0.08
SEP-1966	0.42
OCT-1966	0.06
NOV-1966	-0.68
DEC-1966	-0.4
JAN-1967	-0.11
FEB-1967	0.28
MAR-1967	0.18
APR-1967	0.17
MAY-1967	-0.37
JUN-1967	-0.07
JUL-1967	0.26
AUG-1967	0.21
SEP-1967	-0.35
OCT-1967	-0.13
NOV-1967	-0.42
DEC-1967	-0.3
JAN-1968	-0.14
FEB-1968	-0.07
MAR-1968	-0.15
APR-1968	-0.04
MAY-1968	-0.35
JUN-1968	0.1
JUL-1968	0.15
AUG-1968	0.62
SEP-1968	0.09
OCT-1968	0.57
